iter	Passed	Remaining
0	21	21800
1	44	22282
2	69	22966
3	84	21077
4	108	21523
5	132	22020
6	157	22301
7	181	22551
8	204	22567
9	225	22309
10	248	22339
11	271	22388
12	287	21832
13	313	22084
14	338	22259
15	363	22371
16	388	22463
17	413	22579
18	438	22641
19	462	22648
20	484	22598
21	508	22603
22	532	22612
23	557	22691
24	582	22703
25	605	22674
26	628	22649
27	652	22653
28	675	22616
29	697	22548
30	722	22584
31	745	22565
32	771	22605
33	796	22636
34	820	22633
35	844	22625
36	867	22588
37	890	22547
38	913	22502
39	936	22464
40	959	22440
41	982	22399
42	1005	22379
43	1029	22375
44	1053	22367
45	1077	22342
46	1101	22339
47	1124	22293
48	1147	22264
49	1169	22223
50	1194	22233
51	1219	22237
52	1243	22223
53	1269	22246
54	1292	22214
55	1315	22179
56	1339	22159
57	1362	22127
58	1385	22096
59	1409	22089
60	1432	22046
61	1454	22012
62	1477	21972
63	1501	21963
64	1524	21926
65	1549	21924
66	1574	21924
67	1597	21899
68	1622	21895
69	1645	21867
70	1669	21842
71	1693	21822
72	1717	21806
73	1739	21772
74	1762	21743
75	1791	21786
76	1817	21790
77	1846	21827
78	1874	21856
79	1901	21861
80	1929	21887
81	1958	21920
82	1985	21932
83	2010	21925
84	2036	21926
85	2064	21937
86	2092	21955
87	2117	21941
88	2147	21978
89	2174	21985
90	2201	21986
91	2227	21980
92	2252	21969
93	2279	21970
94	2305	21961
95	2330	21946
96	2356	21936
97	2383	21937
98	2408	21920
99	2434	21907
100	2458	21881
101	2484	21877
102	2510	21861
103	2536	21854
104	2562	21839
105	2587	21821
106	2612	21805
107	2639	21800
108	2664	21779
109	2688	21752
110	2711	21719
111	2737	21706
112	2761	21680
113	2787	21661
114	2812	21640
115	2837	21621
116	2861	21593
117	2886	21576
118	2913	21571
119	2938	21548
120	2964	21536
121	2990	21519
122	3014	21493
123	3038	21463
124	3063	21442
125	3091	21442
126	3116	21419
127	3141	21400
128	3167	21385
129	3191	21356
130	3216	21334
131	3241	21314
132	3265	21289
133	3290	21265
134	3316	21248
135	3342	21235
136	3367	21215
137	3392	21193
138	3418	21172
139	3443	21152
140	3470	21144
141	3496	21127
142	3522	21110
143	3549	21100
144	3576	21087
145	3600	21060
146	3627	21051
147	3653	21031
148	3679	21013
149	3704	20990
150	3730	20974
151	3755	20953
152	3780	20930
153	3806	20908
154	3829	20878
155	3857	20868
156	3884	20858
157	3924	20911
158	3947	20879
159	3972	20856
160	3996	20827
161	4021	20801
162	4044	20770
163	4069	20743
164	4095	20727
165	4121	20705
166	4147	20689
167	4172	20665
168	4197	20637
169	4223	20621
170	4249	20599
171	4274	20578
172	4300	20558
173	4328	20550
174	4356	20537
175	4382	20519
176	4411	20511
177	4438	20499
178	4467	20489
179	4494	20475
180	4520	20453
181	4546	20434
182	4576	20432
183	4602	20411
184	4629	20396
185	4659	20392
186	4684	20367
187	4709	20340
188	4735	20320
189	4763	20306
190	4791	20293
191	4816	20269
192	4843	20254
193	4869	20231
194	4896	20212
195	4922	20191
196	4947	20167
197	4974	20149
198	5000	20127
199	5025	20103
200	5051	20078
201	5076	20054
202	5100	20025
203	5126	20003
204	5154	19990
205	5182	19973
206	5208	19952
207	5234	19931
208	5260	19908
209	5286	19888
210	5315	19877
211	5341	19854
212	5367	19833
213	5395	19816
214	5419	19787
215	5445	19763
216	5472	19745
217	5499	19728
218	5526	19709
219	5552	19686
220	5576	19656
221	5603	19636
222	5630	19619
223	5655	19591
224	5681	19570
225	5706	19545
226	5731	19516
227	5755	19488
228	5780	19462
229	5807	19441
230	5832	19415
231	5857	19389
232	5881	19360
233	5905	19330
234	5929	19303
235	5955	19278
236	5981	19256
237	6008	19236
238	6034	19212
239	6059	19189
240	6084	19161
241	6110	19139
242	6137	19119
243	6163	19098
244	6191	19078
245	6217	19055
246	6243	19032
247	6267	19004
248	6292	18977
249	6317	18951
250	6345	18935
251	6371	18911
252	6394	18881
253	6419	18853
254	6444	18827
255	6469	18801
256	6495	18778
257	6519	18751
258	6547	18731
259	6573	18709
260	6598	18683
261	6624	18659
262	6651	18639
263	6677	18617
264	6714	18622
265	6742	18604
266	6766	18577
267	6793	18554
268	6817	18527
269	6842	18500
270	6867	18474
271	6893	18450
272	6920	18428
273	6942	18395
274	6964	18362
275	6991	18339
276	7014	18309
277	7038	18279
278	7062	18251
279	7085	18219
280	7109	18191
281	7133	18162
282	7156	18131
283	7180	18103
284	7203	18073
285	7228	18046
286	7252	18016
287	7274	17985
288	7298	17956
289	7321	17925
290	7345	17896
291	7369	17867
292	7393	17839
293	7417	17811
294	7440	17780
295	7466	17757
296	7487	17723
297	7509	17689
298	7532	17659
299	7554	17627
300	7579	17602
301	7604	17575
302	7625	17541
303	7648	17510
304	7671	17481
305	7695	17453
306	7719	17424
307	7742	17396
308	7765	17365
309	7789	17338
310	7813	17309
311	7836	17279
312	7859	17249
313	7882	17221
314	7904	17189
315	7928	17161
316	7951	17132
317	7974	17103
318	7998	17074
319	8022	17048
320	8046	17019
321	8071	16994
322	8094	16965
323	8117	16936
324	8140	16906
325	8163	16878
326	8187	16851
327	8211	16823
328	8233	16792
329	8257	16766
330	8283	16741
331	8307	16714
332	8331	16688
333	8356	16663
334	8379	16634
335	8403	16606
336	8426	16578
337	8450	16550
338	8473	16522
339	8496	16493
340	8519	16463
341	8543	16437
342	8567	16410
343	8589	16380
344	8612	16351
345	8637	16325
346	8660	16296
347	8682	16266
348	8705	16239
349	8730	16214
350	8754	16187
351	8777	16159
352	8801	16131
353	8825	16105
354	8849	16078
355	8874	16053
356	8898	16026
357	8921	15999
358	8944	15970
359	8969	15945
360	8996	15925
361	9020	15897
362	9043	15869
363	9065	15839
364	9087	15809
365	9112	15784
366	9135	15757
367	9160	15731
368	9183	15703
369	9206	15676
370	9230	15649
371	9254	15622
372	9277	15594
373	9301	15568
374	9325	15542
375	9348	15515
376	9372	15487
377	9394	15458
378	9417	15431
379	9439	15400
380	9462	15374
381	9484	15344
382	9509	15320
383	9534	15295
384	9558	15269
385	9582	15242
386	9605	15214
387	9628	15187
388	9651	15159
389	9673	15130
390	9698	15105
391	9723	15080
392	9746	15054
393	9770	15027
394	9793	15000
395	9817	14973
396	9840	14946
397	9864	14920
398	9888	14894
399	9909	14863
400	9931	14835
401	9955	14809
402	9979	14782
403	10001	14755
404	10027	14731
405	10052	14706
406	10076	14680
407	10099	14653
408	10121	14625
409	10146	14600
410	10169	14573
411	10191	14545
412	10213	14516
413	10238	14491
414	10262	14466
415	10288	14443
416	10311	14415
417	10333	14388
418	10357	14362
419	10381	14336
420	10405	14310
421	10428	14284
422	10452	14258
423	10476	14231
424	10498	14203
425	10521	14177
426	10545	14150
427	10567	14123
428	10590	14095
429	10613	14069
430	10637	14042
431	10660	14016
432	10683	13990
433	10706	13962
434	10730	13936
435	10752	13909
436	10776	13883
437	10798	13855
438	10822	13830
439	10844	13802
440	10867	13775
441	10890	13748
442	10914	13722
443	10939	13698
444	10962	13671
445	10987	13648
446	11011	13622
447	11034	13596
448	11055	13567
449	11079	13541
450	11104	13517
451	11126	13489
452	11149	13463
453	11171	13435
454	11194	13409
455	11219	13384
456	11241	13356
457	11261	13327
458	11286	13302
459	11308	13275
460	11334	13252
461	11357	13226
462	11379	13198
463	11402	13171
464	11426	13147
465	11449	13120
466	11474	13096
467	11499	13071
468	11522	13045
469	11546	13020
470	11570	12995
471	11596	12972
472	11620	12946
473	11642	12920
474	11667	12895
475	11690	12869
476	11714	12844
477	11738	12818
478	11761	12792
479	11786	12768
480	11809	12741
481	11833	12716
482	11856	12691
483	11880	12665
484	11902	12639
485	11926	12613
486	11952	12590
487	11974	12563
488	11998	12537
489	12021	12511
490	12044	12486
491	12069	12461
492	12092	12436
493	12116	12410
494	12139	12384
495	12160	12356
496	12185	12332
497	12209	12307
498	12233	12282
499	12256	12256
500	12280	12231
501	12304	12206
502	12326	12179
503	12349	12153
504	12371	12126
505	12396	12102
506	12418	12075
507	12443	12051
508	12466	12025
509	12489	11999
510	12511	11973
511	12535	11947
512	12558	11921
513	12579	11894
514	12603	11869
515	12627	11844
516	12651	11819
517	12674	11793
518	12696	11767
519	12720	11741
520	12743	11716
521	12765	11689
522	12788	11663
523	12812	11638
524	12835	11613
525	12860	11589
526	12883	11563
527	12908	11539
528	12934	11516
529	12957	11490
530	12981	11466
531	13004	11440
532	13028	11415
533	13056	11393
534	13078	11367
535	13102	11342
536	13124	11316
537	13147	11289
538	13171	11265
539	13192	11238
540	13214	11211
541	13238	11187
542	13261	11161
543	13284	11135
544	13306	11109
545	13328	11082
546	13353	11058
547	13376	11032
548	13400	11008
549	13423	10982
550	13447	10957
551	13470	10932
552	13493	10906
553	13516	10881
554	13539	10855
555	13564	10832
556	13586	10806
557	13608	10779
558	13631	10754
559	13655	10729
560	13678	10703
561	13703	10679
562	13724	10652
