iter	Passed	Remaining
0	23	23750
1	47	23648
2	72	24077
3	89	22166
4	113	22624
5	139	23053
6	164	23389
7	190	23607
8	214	23666
9	238	23610
10	263	23697
11	289	23820
12	306	23232
13	332	23429
14	358	23573
15	384	23645
16	409	23698
17	435	23770
18	461	23825
19	486	23824
20	510	23797
21	535	23792
22	559	23757
23	586	23862
24	611	23858
25	636	23828
26	660	23796
27	684	23759
28	708	23730
29	732	23685
30	758	23719
31	783	23691
32	808	23683
33	833	23683
34	859	23696
35	884	23679
36	908	23633
37	931	23587
38	955	23550
39	979	23504
40	1005	23515
41	1029	23491
42	1053	23451
43	1079	23459
44	1104	23448
45	1129	23425
46	1153	23398
47	1177	23351
48	1201	23324
49	1225	23278
50	1250	23271
51	1275	23255
52	1301	23249
53	1328	23273
54	1352	23237
55	1377	23218
56	1401	23188
57	1426	23166
58	1450	23133
59	1475	23118
60	1498	23072
61	1522	23030
62	1547	23009
63	1572	22990
64	1595	22949
65	1620	22934
66	1645	22908
67	1669	22881
68	1695	22876
69	1719	22842
70	1744	22820
71	1768	22797
72	1793	22779
73	1817	22744
74	1841	22711
75	1868	22711
76	1892	22681
77	1918	22672
78	1944	22664
79	1968	22640
80	1994	22625
81	2019	22610
82	2044	22589
83	2068	22559
84	2093	22541
85	2119	22528
86	2145	22519
87	2170	22497
88	2197	22494
89	2223	22484
90	2249	22471
91	2274	22450
92	2302	22458
93	2327	22430
94	2351	22397
95	2374	22362
96	2399	22333
97	2422	22300
98	2446	22261
99	2471	22240
100	2494	22204
101	2519	22183
102	2544	22159
103	2569	22140
104	2594	22115
105	2618	22088
106	2643	22058
107	2667	22034
108	2693	22014
109	2716	21979
110	2740	21944
111	2765	21929
112	2789	21898
113	2815	21883
114	2842	21875
115	2869	21865
116	2894	21842
117	2921	21835
118	2948	21830
119	2974	21810
120	3000	21799
121	3027	21786
122	3053	21773
123	3078	21750
124	3104	21728
125	3131	21719
126	3157	21701
127	3183	21685
128	3210	21675
129	3236	21656
130	3261	21633
131	3287	21619
132	3313	21599
133	3338	21576
134	3365	21563
135	3393	21556
136	3419	21538
137	3445	21519
138	3470	21497
139	3496	21477
140	3523	21466
141	3550	21451
142	3576	21435
143	3604	21426
144	3630	21405
145	3655	21383
146	3682	21371
147	3709	21353
148	3735	21332
149	3761	21315
150	3788	21301
151	3814	21281
152	3840	21259
153	3866	21239
154	3890	21208
155	3916	21191
156	3944	21177
157	3968	21150
158	3992	21120
159	4018	21097
160	4043	21069
161	4068	21047
162	4093	21018
163	4118	20993
164	4145	20977
165	4171	20957
166	4198	20939
167	4224	20919
168	4249	20894
169	4275	20876
170	4302	20858
171	4328	20839
172	4355	20819
173	4384	20813
174	4409	20789
175	4436	20770
176	4463	20756
177	4491	20742
178	4519	20729
179	4545	20709
180	4571	20683
181	4596	20658
182	4624	20644
183	4650	20622
184	4675	20596
185	4701	20577
186	4726	20550
187	4752	20525
188	4778	20504
189	4805	20485
190	4833	20472
191	4858	20446
192	4885	20428
193	4911	20405
194	4938	20387
195	4964	20363
196	4990	20342
197	5018	20326
198	5044	20304
199	5069	20278
200	5095	20255
201	5122	20236
202	5147	20209
203	5173	20188
204	5201	20172
205	5230	20158
206	5257	20139
207	5283	20118
208	5310	20098
209	5337	20078
210	5366	20066
211	5393	20048
212	5420	20026
213	5447	20006
214	5472	19980
215	5498	19957
216	5526	19939
217	5553	19921
218	5581	19905
219	5607	19880
220	5630	19848
221	5657	19827
222	5685	19809
223	5710	19782
224	5737	19763
225	5765	19745
226	5791	19721
227	5816	19694
228	5841	19668
229	5869	19649
230	5895	19625
231	5921	19601
232	5946	19575
233	5971	19547
234	5996	19519
235	6021	19492
236	6047	19470
237	6074	19449
238	6101	19426
239	6126	19401
240	6151	19374
241	6178	19351
242	6205	19332
243	6231	19307
244	6259	19288
245	6287	19269
246	6313	19247
247	6339	19221
248	6363	19193
249	6389	19169
250	6418	19151
251	6444	19127
252	6468	19099
253	6493	19072
254	6519	19048
255	6545	19022
256	6571	18999
257	6596	18971
258	6623	18950
259	6650	18927
260	6675	18900
261	6700	18873
262	6727	18851
263	6752	18825
264	6777	18798
265	6803	18772
266	6828	18746
267	6854	18723
268	6880	18697
269	6906	18673
270	6932	18648
271	6958	18624
272	6986	18604
273	7010	18576
274	7035	18548
275	7062	18526
276	7088	18500
277	7114	18477
278	7140	18453
279	7166	18427
280	7194	18408
281	7220	18385
282	7246	18358
283	7272	18334
284	7298	18309
285	7325	18289
286	7352	18264
287	7378	18241
288	7406	18221
289	7432	18196
290	7458	18171
291	7484	18146
292	7511	18124
293	7538	18101
294	7563	18076
295	7590	18053
296	7614	18022
297	7637	17992
298	7663	17966
299	7688	17939
300	7713	17913
301	7740	17889
302	7764	17860
303	7789	17834
304	7815	17808
305	7840	17782
306	7865	17754
307	7890	17727
308	7913	17697
309	7939	17672
310	7963	17642
311	7987	17612
312	8011	17584
313	8036	17557
314	8058	17525
315	8082	17495
316	8106	17465
317	8130	17436
318	8154	17408
319	8180	17382
320	8204	17353
321	8229	17328
322	8254	17301
323	8278	17273
324	8302	17243
325	8326	17215
326	8352	17190
327	8376	17161
328	8399	17131
329	8425	17106
330	8449	17078
331	8475	17052
332	8500	17027
333	8526	17002
334	8551	16974
335	8576	16948
336	8599	16919
337	8624	16891
338	8648	16864
339	8672	16833
340	8696	16806
341	8722	16781
342	8747	16754
343	8770	16724
344	8793	16695
345	8818	16668
346	8842	16639
347	8864	16609
348	8888	16580
349	8914	16555
350	8938	16528
351	8962	16499
352	8987	16472
353	9012	16447
354	9037	16420
355	9062	16393
356	9086	16366
357	9111	16339
358	9134	16310
359	9160	16285
360	9187	16262
361	9212	16236
362	9236	16208
363	9263	16186
364	9288	16159
365	9315	16136
366	9341	16111
367	9367	16087
368	9394	16064
369	9420	16040
370	9445	16014
371	9472	15990
372	9497	15965
373	9524	15942
374	9550	15917
375	9576	15893
376	9600	15865
377	9625	15838
378	9648	15809
379	9671	15779
380	9695	15751
381	9718	15721
382	9744	15697
383	9769	15672
384	9794	15646
385	9817	15616
386	9840	15587
387	9865	15561
388	9888	15531
